stdoutredi ok!
r:0:b86:c:c:b222:b451 - 0.210735425
r:0:b86:c:c:b222:b451:f - 0.280409902
r:0:b86:c:c:b222:b451:c - 0.719590068
r:0:b86:c:c:b451 - 0.0263668522
r:0:b86:c:c:b451:f - 0.513048112
r:0:b86:c:c:b451:c - 0.486951768
r:0:b86:c:b222 - 0.338074058
r:0:b86:c:b222:f - 0.196164265
r:0:b86:c:b222:c - 0.667638838
r:0:b86:c:b222:c:c - 0.313339442
r:0:b86:c:b222:c:c:c - 0.285178989
r:0:b86:c:b222:c:c:b451 - 0.714820385
r:0:b86:c:b222:c:c:b451:f - 0.494930178
r:0:b86:c:b222:c:c:b451:c - 0.505070388
r:0:b86:c:b222:c:b451 - 0.686660767
r:0:b86:c:b222:c:b451:f - 0.270736665
r:0:b86:c:b222:c:b451:c - 0.729263484
r:0:b86:c:b222:b451 - 0.13619715
r:0:b86:c:b222:b451:f - 0.255037159
r:0:b86:c:b222:b451:c - 0.744962811
r:0:b86:c:b451 - 0.109759904
r:0:b86:c:b451:f - 0.391535372
r:0:b86:c:b451:c - 0.608464956
r:0:b86:b451 - 0.129338205
r:0:b86:b451:f - 0.425157934
r:0:b86:b451:c - 0.574841917
r:0:b149 - 0.00163385703
r:0:b149:f - 0.27037704
r:0:b149:c - 0.254919976
r:0:b149:c:c - 0.525354087
r:0:b149:c:c:c - 0.572315753
r:0:b149:c:c:c:c - 0.772188485
r:0:b149:c:c:c:c:c - 0.33081767
r:0:b149:c:c:c:c:b451 - 0.669182539
r:0:b149:c:c:c:c:b451:f - 0.610359788
r:0:b149:c:c:c:c:b451:c - 0.389639556
r:0:b149:c:c:c:b451 - 0.227811188
r:0:b149:c:c:c:b451:f - 0.364890307
r:0:b149:c:c:c:b451:c - 0.635109901
r:0:b149:c:c:b451 - 0.427685022
r:0:b149:c:c:b451:f - 0.484996229
r:0:b149:c:c:b451:c - 0.515003741
r:0:b149:c:b451 - 0.474645913
r:0:b149:c:b451:f - 0.301950634
r:0:b149:c:b451:c - 0.698049426
r:0:b149:b451 - 0.474702805
r:0:b149:b451:f - 0.294448823
r:0:b149:b451:c - 0.705551147
r:0:b194 - 0.00145376497
r:0:b194:f - 0.336619169
r:0:b194:c - 0.0371823572
r:0:b194:c:c - 0.514243603
r:0:b194:c:c:c - 0.444159895
r:0:b194:c:c:c:c - 0.763686657
r:0:b194:c:c:c:c:c - 0.239241198
r:0:b194:c:c:c:c:b451 - 0.760757446
r:0:b194:c:c:c:c:b451:f - 0.614391327
r:0:b194:c:c:c:c:b451:c - 0.385608912
r:0:b194:c:c:c:b451 - 0.23631373
r:0:b194:c:c:c:b451:f - 0.294104069
r:0:b194:c:c:c:b451:c - 0.705895305
r:0:b194:c:c:b451 - 0.555840552
r:0:b194:c:c:b451:f - 0.430966526
r:0:b194:c:c:b451:c - 0.569033444
r:0:b194:c:b451 - 0.485756308
r:0:b194:c:b451:f - 0.197049171
r:0:b194:c:b451:c - 0.802950442
r:0:b194:b451 - 0.62619853
r:0:b194:b451:f - 0.241640404
r:0:b194:b451:c - 0.758359671
r:0:b451 - 0.00369491847
r:0:b451:f - 0.41441229
r:0:b451:c - 0.58558774
END
