stdoutredi ok!
r:0:c:c:c:b58:c:c:b374:b848:b1300 - 0.158353433
r:0:c:c:c:b58:c:c:b374:b848:b1300:f - 0.421730012
r:0:c:c:c:b58:c:c:b374:b848:b1300:c - 0.578269839
r:0:c:c:c:b58:c:c:b374:b1300 - 0.092114605
r:0:c:c:c:b58:c:c:b374:b1300:f - 0.682129025
r:0:c:c:c:b58:c:c:b374:b1300:c - 0.317869931
r:0:c:c:c:b58:c:c:b532 - 0.13098456
r:0:c:c:c:b58:c:c:b532:f - 0.629926205
r:0:c:c:c:b58:c:c:b532:c - 0.293916553
r:0:c:c:c:b58:c:c:b532:b1300 - 0.0761570483
r:0:c:c:c:b58:c:c:b532:b1300:f - 0.641535223
r:0:c:c:c:b58:c:c:b532:b1300:c - 0.358464837
r:0:c:c:c:b58:c:c:b1300 - 0.0439445227
r:0:c:c:c:b58:c:c:b1300:f - 0.815045893
r:0:c:c:c:b58:c:c:b1300:c - 0.184953377
r:0:c:c:c:b58:c:b263 - 0.023306882
r:0:c:c:c:b58:c:b263:f - 0.497284293
r:0:c:c:c:b58:c:b263:c - 0.32490164
r:0:c:c:c:b58:c:b263:b626 - 0.0467106998
r:0:c:c:c:b58:c:b263:b626:f - 0.555019915
r:0:c:c:c:b58:c:b263:b626:c - 0.290239424
r:0:c:c:c:b58:c:b263:b626:b1300 - 0.154740915
r:0:c:c:c:b58:c:b263:b626:b1300:f - 0.491093487
r:0:c:c:c:b58:c:b263:b626:b1300:c - 0.50890702
r:0:c:c:c:b58:c:b263:b1300 - 0.131102011
r:0:c:c:c:b58:c:b263:b1300:f - 0.723509073
r:0:c:c:c:b58:c:b263:b1300:c - 0.276490629
r:0:c:c:c:b58:c:b1300 - 0.00157688151
r:0:c:c:c:b58:c:b1300:f - 0.777626693
r:0:c:c:c:b58:c:b1300:c - 0.222373053
r:0:c:c:c:b58:b216 - 0.121168084
r:0:c:c:c:b58:b216:f - 0.402765125
r:0:c:c:c:b58:b216:c - 0.58624059
r:0:c:c:c:b58:b216:c:c - 0.490038723
r:0:c:c:c:b58:b216:c:c:c - 0.550101399
r:0:c:c:c:b58:b216:c:c:b399 - 0.0122110797
r:0:c:c:c:b58:b216:c:c:b399:f - 0.532125831
r:0:c:c:c:b58:b216:c:c:b399:c - 0.332013369
r:0:c:c:c:b58:b216:c:c:b399:b1300 - 0.135860801
r:0:c:c:c:b58:b216:c:c:b399:b1300:f - 0.602986455
r:0:c:c:c:b58:b216:c:c:b399:b1300:c - 0.397013456
r:0:c:c:c:b58:b216:c:c:b532 - 0.0715210289
r:0:c:c:c:b58:b216:c:c:b532:f - 0.569620609
r:0:c:c:c:b58:b216:c:c:b532:c - 0.28736645
r:0:c:c:c:b58:b216:c:c:b532:b1300 - 0.143012688
r:0:c:c:c:b58:b216:c:c:b532:b1300:f - 0.561479867
r:0:c:c:c:b58:b216:c:c:b532:b1300:c - 0.438520551
r:0:c:c:c:b58:b216:c:c:b627 - 0.117657803
r:0:c:c:c:b58:b216:c:c:b627:f - 0.595527589
r:0:c:c:c:b58:b216:c:c:b627:c - 0.26270926
r:0:c:c:c:b58:b216:c:c:b627:b1300 - 0.14176254
r:0:c:c:c:b58:b216:c:c:b627:b1300:f - 0.533606648
r:0:c:c:c:b58:b216:c:c:b627:b1300:c - 0.466393024
r:0:c:c:c:b58:b216:c:c:b848 - 0.124397457
r:0:c:c:c:b58:b216:c:c:b848:f - 0.67743212
r:0:c:c:c:b58:b216:c:c:b848:c - 0.207480267
r:0:c:c:c:b58:b216:c:c:b848:b1300 - 0.11508783
r:0:c:c:c:b58:b216:c:c:b848:b1300:f - 0.493587285
r:0:c:c:c:b58:b216:c:c:b848:b1300:c - 0.506411612
r:0:c:c:c:b58:b216:c:c:b1300 - 0.124110028
r:0:c:c:c:b58:b216:c:c:b1300:f - 0.759118855
r:0:c:c:c:b58:b216:c:c:b1300:c - 0.240880728
r:0:c:c:c:b58:b216:c:b399 - 0.147774532
r:0:c:c:c:b58:b216:c:b399:f - 0.260664433
r:0:c:c:c:b58:b216:c:b399:c - 0.467601269
r:0:c:c:c:b58:b216:c:b399:b1300 - 0.271734357
r:0:c:c:c:b58:b216:c:b399:b1300:f - 0.602548063
r:0:c:c:c:b58:b216:c:b399:b1300:c - 0.397450954
r:0:c:c:c:b58:b216:c:b532 - 0.0734189302
r:0:c:c:c:b58:b216:c:b532:f - 0.372766912
r:0:c:c:c:b58:b216:c:b532:c - 0.398399532
r:0:c:c:c:b58:b216:c:b532:b1300 - 0.228834212
r:0:c:c:c:b58:b216:c:b532:b1300:f - 0.570205033
r:0:c:c:c:b58:b216:c:b532:b1300:c - 0.429794788
r:0:c:c:c:b58:b216:c:b627 - 0.0761552155
r:0:c:c:c:b58:b216:c:b627:f - 0.435370356
r:0:c:c:c:b58:b216:c:b627:c - 0.366217047
r:0:c:c:c:b58:b216:c:b627:b1300 - 0.198413342
r:0:c:c:c:b58:b216:c:b627:b1300:f - 0.555064976
r:0:c:c:c:b58:b216:c:b627:b1300:c - 0.444935083
r:0:c:c:c:b58:b216:c:b848 - 0.0829714611
r:0:c:c:c:b58:b216:c:b848:f - 0.539210677
r:0:c:c:c:b58:b216:c:b848:c - 0.306590617
r:0:c:c:c:b58:b216:c:b848:b1300 - 0.154199064
